评论时间,评论者IP归属地,评论内容
2023年,来自湖南,小孩子都有危机感了[污][污]
2023年,来自广东,小孩子还能有个适应过程，刚毕业的大学生就不一定了[允悲]
2023年,来自贵州,ai是一个工具没错，但是，这个超强的工具的管理权限或者高级权限在极少数人手上[摊手]
2023年,来自北京,别说小孩了。我刚刚被ai给淘汰了。
2023年,来自天津,畸形教育，我们国家99%的孩子从小就被教育长大挣钱。。
2023年,来自河南,这不是上次停车场讲英文的嘛[二哈]
2023年,来自北京,小孩有了霍金的焦虑…
2023年,来自广东,还是那个观点，好的科技，是造福人类，服务于人类，而不是取代人类....
2023年,来自广东,往往事与愿违，最后变成ai是小女孩的主人。[悲伤]
2023年,来自上海,#小学女生因AI产生就业焦虑# 我为什么要点进来听这个本该有点有趣的对话[微笑]这小女孩一口标准英语令我respect啊
2023年,来自北京,别总想着去大城市工作，好好开发研究农业技术，是中国最大的发展潜力。
2023年,来自北京,您好，恭喜您的视频荣登视频飙升榜，社会领域第6名，榜单可在【发现页-视频-视频飙升榜】中展示您的上榜信息，榜单小时级更新请尽快查看哦~快来查看分享你的上榜视频吧~榜单戳》http://t.cn/A6Ntj2Aj
2023年,来自浙江,因为她还处于模仿大人的阶段，她周围没有一个大人从事使用AI工作的职业，所以她误以为世界上不存在这些职业。
2023年,来自天津,公司也做ai的 老板天天pua我们；ai什么都会 你们啊不是因为有学历才来这上班 而是社会的福利救了你们 再过几年都用ai 不需要你们了 我心疼你们这帮刚毕业的小孩 收留你们
2023年,来自江苏,中国人始终处于自身制造的焦虑当中
2023年,来自广西,主人还是主人[哆啦A梦害怕]
2023年,来自广东,这有啥好焦虑的有钱就生二胎，没钱就生一胎，AI不能消费，不能消费，替代不了韭菜
2023年,来自浙江,咱们平常干的工作有啥技术含量吗
2023年,来自江苏,浮夸了，小孩都焦虑了[doge]
2023年,来自山东,编程我觉得可以学吧，AI就算了[奥特曼]
2023年,来自浙江,哎呀我也焦虑
2023年,来自四川,贩卖焦虑[允悲]
2023年,来自北京,人类最后，大概是被自己卷死的吧……[哆啦A梦害怕]
2023年,来自河南,高科技高速发展没有什么不合适，如果高科技抢了人们的饭碗，那一定是不合适的，生存为本，民生为大，人人都得吃饭。
2023年,来自黑龙江,人工智能的发展，会倒逼我们的教育改革，转向重新发现“人”的价值，激发出每个孩子的独特天赋、热情和生命力，培养出能够有别于智能机器，又能与其深度合作的“人”。如果我们的教育还是停留在用一套制式的、标准化的知识体系，把人塑造成机器，那么，孩子们注定会失去未来。
